Date,214150.KQ,287410.KQ,011810.KS,091120.KQ,068400.KS,005180.KS,314930.KQ,060590.KQ,015890.KS,025320.KQ,026890.KS,357580.KQ,267320.KQ,149980.KQ,173130.KQ,347000.KQ,208140.KQ,195500.KQ,187790.KQ,025560.KS
2023-07-21,30900.0,11200.0,13830.0,39450.0,10400.0,44750.0,51600.0,9410.0,7200.0,3295.0,6750.0,15000.0,3780.0,9190.0,11040.0,3120.0,2460.0,3465.0,1323.0,5016.66650390625
2023-07-24,28750.0,11640.0,14890.0,39100.0,10360.0,44450.0,49600.0,9350.0,7060.0,3180.0,6620.0,14890.0,3840.0,8890.0,10620.0,3015.0,2360.0,3375.0,1320.0,4041.666748046875
2023-07-25,28600.0,11200.0,13960.0,38050.0,10450.0,43500.0,49600.0,9310.0,7000.0,3065.0,6440.0,15350.0,3605.0,9180.0,10400.0,3285.0,2275.0,3270.0,1252.0,4550.0
2023-07-26,28450.0,10820.0,13090.0,37100.0,10300.0,42450.0,47850.0,8980.0,6750.0,2920.0,6110.0,14470.0,3545.0,8610.0,10270.0,2940.0,2185.0,3170.0,1205.0,4366.66650390625
2023-07-27,29900.0,11030.0,12400.0,36500.0,10400.0,43950.0,48550.0,9080.0,6650.0,2975.0,6290.0,14300.0,3510.0,9050.0,10520.0,2935.0,2240.0,3260.0,1217.0,4700.0
2023-07-28,29900.0,11310.0,12170.0,37550.0,10500.0,45650.0,50200.0,9140.0,6990.0,3060.0,6350.0,14520.0,3705.0,9600.0,11240.0,2995.0,2300.0,3335.0,1287.0,4816.66650390625
2023-07-31,30650.0,11170.0,13400.0,37450.0,10670.0,45950.0,50200.0,9240.0,7150.0,3060.0,6350.0,15030.0,3760.0,9310.0,11000.0,3010.0,,3390.0,1292.0,5000.0
2023-08-01,29600.0,11230.0,13590.0,37150.0,10700.0,46000.0,55900.0,9470.0,7020.0,3065.0,6510.0,14840.0,3700.0,9160.0,10970.0,3025.0,2360.0,3440.0,1298.0,5783.33349609375
2023-08-02,29850.0,11070.0,12600.0,35950.0,10860.0,46300.0,53900.0,9550.0,7020.0,3120.0,6500.0,14450.0,3720.0,8680.0,10830.0,2930.0,2310.0,3380.0,1265.0,5933.33349609375
2023-08-03,29200.0,11200.0,15660.0,35750.0,10900.0,46200.0,51500.0,9730.0,6880.0,3120.0,6530.0,14150.0,3600.0,8650.0,10890.0,2810.0,2370.0,3310.0,1252.0,5000.0
2023-08-04,32350.0,11780.0,15050.0,36150.0,11050.0,46050.0,53300.0,9920.0,6800.0,3125.0,6680.0,14470.0,3595.0,8890.0,13010.0,2835.0,2370.0,3405.0,1222.0,4758.33349609375
2023-08-07,32750.0,11660.0,14030.0,34800.0,11490.0,46200.0,53000.0,10430.0,6730.0,3130.0,6690.0,14480.0,3490.0,9200.0,13770.0,3245.0,2355.0,3495.0,1253.0,4333.33349609375
2023-08-08,32450.0,11420.0,16960.0,40050.0,11470.0,46600.0,52300.0,9810.0,6710.0,3330.0,6750.0,14600.0,3415.0,9690.0,13340.0,3415.0,2355.0,3440.0,1210.0,5091.66650390625
2023-08-09,32750.0,11370.0,15730.0,42550.0,11600.0,45900.0,54000.0,10530.0,6780.0,3300.0,6670.0,14620.0,3460.0,10310.0,14060.0,3545.0,2395.0,3475.0,1225.0,5250.0
2023-08-10,34900.0,12330.0,16080.0,42850.0,11800.0,46400.0,56300.0,10380.0,6720.0,3415.0,6780.0,14400.0,3445.0,10800.0,14060.0,3525.0,2450.0,3495.0,1222.0,4958.33349609375
2023-08-11,33700.0,11480.0,16300.0,43150.0,12220.0,47400.0,57100.0,10670.0,6780.0,3315.0,6940.0,14370.0,3480.0,10740.0,14250.0,3440.0,2450.0,3590.0,1239.0,5216.66650390625
2023-08-14,34850.0,12000.0,15830.0,49500.0,11760.0,53300.0,59400.0,11000.0,6770.0,3260.0,6940.0,14590.0,3330.0,10340.0,14410.0,3410.0,2500.0,3585.0,1235.0,5041.66650390625
2023-08-16,35650.0,12820.0,20550.0,48700.0,11920.0,52800.0,59400.0,11000.0,6500.0,3080.0,6700.0,13950.0,3315.0,9950.0,14690.0,3375.0,2480.0,3565.0,1400.0,4775.0
2023-08-17,35800.0,12820.0,20800.0,49050.0,12430.0,55400.0,58800.0,11010.0,6500.0,3005.0,6840.0,14480.0,3705.0,11120.0,13730.0,3400.0,2460.0,3585.0,1337.0,6230.0
2023-08-18,34750.0,12850.0,24750.0,50800.0,12770.0,55600.0,57000.0,14310.0,8450.0,3035.0,6830.0,18820.0,4815.0,10240.0,14630.0,4370.0,2415.0,3620.0,1508.0,8090.0
2023-08-21,37500.0,13280.0,32150.0,54500.0,13370.0,58100.0,61300.0,14740.0,10980.0,3945.0,7290.0,24450.0,6250.0,13310.0,17090.0,5680.0,2560.0,3925.0,1960.0,10130.0
