종목코드,종목명,베타
060310,3S,0.85
095570,AJ네트웍스,1.01
006840,AK홀딩스,0.41
054620,APS,-0.09
265520,AP시스템,0.78
211270,AP위성,1.59
027410,BGF,0.60
282330,BGF리테일,0.20
126600,BGF에코머티리얼즈,1.18
138930,BNK금융지주,0.78
001460,BYC,0.63
001465,BYC,0.63
013720,CBI,0.55
083790,CG인바이츠,0.81
001040,CJ,0.82
079160,CJ CGV,1.37
035760,CJ ENM,0.65
311690,CJ 바이오사이언스,1.34
00104K,CJ,0.82
000120,CJ대한통운,0.55
011150,CJ씨푸드,0.71
011155,CJ씨푸드,0.71
001045,CJ,0.82
097950,CJ제일제당,0.67
097955,CJ제일제당,0.67
051500,CJ프레시웨이,0.49
058820,CMG제약,0.76
023460,CNH,-0.13
056730,CNT85,0.00
000480,CR홀딩스,0.34
065770,CS,0.40
083660,CSA 코스믹,-0.12
000590,CS홀딩스,0.59
012030,DB,1.39
404950,DB금융스팩10호,-0.50
456440,DB금융스팩11호,-1.29
367360,DB금융스팩9호,-0.05
016610,DB금융투자,0.65
005830,DB손해보험,0.27
000990,DB하이텍,1.64
139130,DGB금융지주,0.58
060900,DGP,1.48
025440,DH오토웨어,0.56
001530,DI동일,1.47
000210,DL,1.03
001880,DL건설,0.29
000215,DL,1.03
375500,DL이앤씨,0.65
37550L,DL이앤씨,0.65
37550K,DL이앤씨,0.65
068790,DMS,0.52
007340,DN오토모티브,0.09
004840,DRB동일,0.85
241520,DSC인베스트먼트,0.96
065150,DSEN,1.46
155660,DSR,0.80
069730,DSR제강,0.96
180400,DXVX,-0.19
017940,E1,0.61
245620,EDGC,1.26
037370,EG,1.29
365550,ESR켄달스퀘어리츠,0.48
050120,ES큐브,0.68
383220,F&F,0.83
007700,F&F홀딩스,0.77
214270,FSN,1.36
130500,GH신소재,0.66
114090,GKL,0.15
900290,GRT,1.53
078930,GS,0.86
083450,GST,0.94
006360,GS건설,1.07
001250,GS글로벌,1.19
007070,GS리테일,0.17
078935,GS,0.86
297890,HB솔루션,0.78
078150,HB테크놀러지,1.17
012630,HDC,0.50
039570,HDC랩스,0.52
089470,HDC현대EP,0.71
294870,HDC현대산업개발,0.66
