Ticker,Name,MarketCap,Market
005830,DB손해보험,57702억,코스피
004370,농심,28284억,코스피
214150,클래시스,24291억,코스닥
192820,코스맥스,15889억,코스피
003230,삼양식품,13431억,코스피
161890,한국콜마,12951억,코스피
336570,원텍,11718억,코스닥
213420,덕산네오룩스,11062억,코스닥
287410,제이시스메디칼,10144억,코스닥
011810,STX,9912억,코스피
091120,이엠텍,9337억,코스닥
006120,SK디스커버리,7520억,코스피
025980,아난티,7151억,코스닥
352480,씨앤씨인터내셔널,6699억,코스닥
068400,SK렌터카,6322억,코스피
228760,지노믹트리,5827억,코스닥
005180,빙그레,5724억,코스피
243070,휴온스,5210억,코스닥
082920,비츠로셀,5022억,코스닥
206640,바디텍메드,4174억,코스닥
314930,바이오다인,3788억,코스닥
060590,씨티씨바이오,3564억,코스닥
056080,유진로봇,3316억,코스닥
015890,태경산업,3209억,코스피
084110,휴온스글로벌,3143억,코스닥
025320,시노펙스,3047억,코스닥
026890,스틱인베스트먼트,3038억,코스피
204620,글로벌텍스프리,2952억,코스닥
357580,아모센스,2738억,코스닥
051360,토비스,2663억,코스닥
267320,나인테크,2521억,코스닥
114840,아이패밀리에스씨,2430억,코스닥
149980,하이로닉,2041억,코스닥
173130,오파스넷,2027억,코스닥
347000,센코,1875억,코스닥
214420,토니모리,1431억,코스피
950110,SBI핀테크솔루션즈,1179억,코스닥
099440,스맥,1085억,코스닥
208140,정다운,837억,코스닥
340360,다보링크,710억,코스닥
195500,마니커에프앤지,625억,코스닥
187790,나노,598억,코스닥
025560,미래산업,516억,코스피
367480,유안타제8호스팩,256억,코스닥
367360,DB금융스팩9호,139억,코스닥
