Ticker,Name,MarketCap,Market
214150,클래시스,24291억,코스닥
287410,제이시스메디칼,10144억,코스닥
011810,STX,9912억,코스피
091120,이엠텍,9337억,코스닥
082640,동양생명,6374억,코스피
068400,SK렌터카,6322억,코스피
005180,빙그레,5724억,코스피
136510,스마트솔루션즈,5509억,코스닥
082270,젬백스,5403억,코스닥
033290,코웰패션,4912억,코스닥
015540,쎌마테라퓨틱스,4010억,코스피
314930,바이오다인,3788억,코스닥
060590,씨티씨바이오,3564억,코스닥
001340,백광산업,3499억,코스피
093230,이아이디,3393억,코스피
206650,유바이오로직스,3364억,코스닥
015890,태경산업,3209억,코스피
078590,휴림에이텍,3166억,코스닥
012320,경동인베스트,3108억,코스피
025320,시노펙스,3047억,코스닥
026890,스틱인베스트먼트,3038억,코스피
079980,휴비스,2905억,코스피
102260,동성케미컬,2867억,코스피
357580,아모센스,2738억,코스닥
001500,현대차증권,2689억,코스피
950170,JTC,2615억,코스닥
121800,비덴트,2563억,코스닥
267320,나인테크,2521억,코스닥
391710,코닉오토메이션,2490억,코스닥
096040,이트론,2456억,코스닥
268600,셀리버리,2449억,코스닥
318020,포인트모바일,2292억,코스닥
314130,지놈앤컴퍼니,2276억,코스닥
150840,인트로메딕,2237억,코스닥
251370,와이엠티,2211억,코스닥
012860,모베이스전자,2204억,코스닥
315640,딥노이드,2143억,코스닥
057880,피에이치씨,2067억,코스닥
033340,좋은사람들,2046억,코스닥
149980,하이로닉,2041억,코스닥
173130,오파스넷,2027억,코스닥
347000,센코,1875억,코스닥
138690,엘아이에스,1828억,코스닥
024810,이화전기,1816억,코스닥
134380,미원화학,1612억,코스피
109070,컨버즈,1509억,코스피
065560,녹원씨엔아이,1504억,코스닥
081150,티플랙스,1308억,코스닥
024880,케이피에프,1220억,코스닥
215090,휴센텍,1208억,코스닥
178780,일월지엠엘,1208억,코스닥
047820,초록뱀미디어,1172억,코스닥
046120,오르비텍,1157억,코스닥
019590,엠벤처투자,1153억,코스닥
269620,시스웍,1143억,코스닥
160600,이큐셀,1069억,코스닥
078130,국일제지,1021억,코스닥
260660,알리코제약,995억,코스닥
066410,버킷스튜디오,970억,코스닥
277410,인산가,970억,코스닥
101140,인바이오젠,938억,코스피
078000,텔코웨어,933억,코스피
056090,이노시스,931억,코스닥
257370,명성티엔에스,930억,코스닥
014200,광림,913억,코스닥
226440,한송네오텍,904억,코스닥
006580,대양제지,875억,코스닥
033180,KH 필룩스,843억,코스피
208140,정다운,837억,코스닥
004770,써니전자,828억,코스피
096690,에이루트,779억,코스닥
012600,청호ICT,751억,코스피
102280,쌍방울,706억,코스피
044060,조광ILI,701억,코스닥
019490,하이트론,682억,코스피
115310,인포바인,680억,코스닥
052460,아이크래프트,679억,코스닥
032860,휴먼엔,653억,코스닥
069110,코스온,630억,코스닥
195500,마니커에프앤지,625억,코스닥
263540,어스앤에어로스페이스,624억,코스닥
052670,제일바이오,606억,코스닥
187790,나노,598억,코스닥
003560,IHQ,579억,코스피
062860,티엘아이,573억,코스닥
290380,대유,568억,코스닥
091090,세원이앤씨,548억,코스피
181340,이즈미디어,543억,코스닥
007610,선도전기,540억,코스피
331380,포커스에이치엔에스,535억,코스닥
053590,한국테크놀로지,525억,코스닥
006050,국영지앤엠,516억,코스닥
025560,미래산업,516억,코스피
099520,ITX-AI,496억,코스닥
003925,남양유업우,495억,코스피
214870,뉴지랩파마,458억,코스닥
141020,디에스앤엘,437억,코스닥
089530,에이티세미콘,434억,코스닥
435620,하나금융25호스팩,420억,코스닥
226360,KH 건설,394억,코스닥
005030,부산주공,383억,코스피
117670,알파홀딩스,355억,코스닥
038340,MIT,340억,코스닥
225430,케이엠제약,338억,코스닥
058530,파나케이아,325억,코스닥
111870,KH 전자,317억,코스닥
068940,셀피글로벌,298억,코스닥
148140,비디아이,277억,코스닥
219750,지티지웰니스,272억,코스닥
299910,베스파,260억,코스닥
208860,엔지스테크널러지,252억,코스닥
114120,크루셜텍,249억,코스닥
214310,에스엘에너지,225억,코스닥
030790,비케이탑스,192억,코스피
393360,신한제8호스팩,171억,코스닥
436610,한국제11호스팩,168억,코스닥
442310,대신밸런스제14호스팩,166억,코스닥
008500,일정실업,155억,코스피
106520,노블엠앤비,151억,코스닥
217480,에스디생명공학,149억,코스닥
404950,DB금융스팩10호,124억,코스닥
377400,하이제6호스팩,123억,코스닥
448370,하나27호스팩,121억,코스닥
004105,태양금속우,120억,코스피
426550,IBKS제19호스팩,118억,코스닥
174880,장원테크,116억,코스닥
427950,하나금융23호스팩,114억,코스닥
436530,케이비제22호스팩,113억,코스닥
437780,엔에이치스팩24호,110억,코스닥
058220,아리온,107억,코스닥
372290,하나머스트7호스팩,104억,코스닥
121890,에스디시스템,94억,코스닥
450410,엔에이치스팩28호,87억,코스닥
373340,유진스팩6호,76억,코스닥
