Ticker,Name,MarketCap,Market
006400,삼성SDI,405711억,코스피
015760,한국전력,114334억,코스피
003490,대한항공,85427억,코스피
042660,한화오션,81870억,코스피
361610,SK아이이테크놀로지,62385억,코스피
035900,JYP Ent.,39189억,코스닥
000720,현대건설,37972억,코스피
068760,셀트리온제약,28321억,코스닥
042670,HD현대인프라코어,19741억,코스피
000250,삼천당제약,13425억,코스닥
267270,HD현대건설기계,13337억,코스피
001120,LX인터내셔널,12616억,코스피
000670,영풍,9505억,코스피
023160,태광,5001억,코스닥
074610,이엔플러스,4091억,코스피
033640,네패스,4024억,코스닥
179290,엠아이텍,2955억,코스닥
053030,바이넥스,2868억,코스닥
330860,네패스아크,2741억,코스닥
036890,진성티이씨,2612억,코스닥
174900,앱클론,2403억,코스닥
078070,유비쿼스홀딩스,2240억,코스닥
055490,테이팩스,1710억,코스피
148150,세경하이테크,1667억,코스닥
073640,테라사이언스,1580억,코스닥
159010,아스플로,1567억,코스닥
900290,GRT,1543억,코스닥
245620,EDGC,1182억,코스닥
317830,에스피시스템스,1180억,코스닥
321370,센서뷰,980억,코스닥
274400,이노시뮬레이션,932억,코스닥
307180,아이엘사이언스,875억,코스닥
115440,우리넷,840억,코스닥
084180,수성샐바시온,798억,코스닥
357430,마스턴프리미어리츠,736억,코스피
205500,액션스퀘어,726억,코스닥
210120,빅텐츠,638억,코스닥
065570,삼영이엔씨,562억,코스닥
133820,화인베스틸,527억,코스피
017000,신원종합개발,492억,코스닥
049120,파인디앤씨,430억,코스닥
054180,메디콕스,390억,코스닥
058450,엔터파트너즈,362억,코스닥
425290,삼성스팩6호,141억,코스닥
380320,삼성머스트스팩5호,115억,코스닥
388800,유진스팩7호,114억,코스닥
440200,케이비제23호스팩,112억,코스닥
001515,SK증권우,82억,코스피
002785,진흥기업우B,36억,코스피
